2015.Minyomerus,>,1982.Minyomerus_caseyi
2015.Minyomerus,>,1982.Minyomerus_conicollis
2015.Minyomerus,>,1982.Minyomerus_constrictus
2015.Minyomerus,>,1982.Minyomerus_innocuus
2015.Minyomerus,>,1982.Minyomerus_languidus
2015.Minyomerus,>,1982.Minyomerus_laticeps
2015.Minyomerus,>,1982.Minyomerus_microps
2015.Minyomerus,>,1982.Piscatopus_griseus
2015.Minyomerus_bulbifrons,!,1982.Minyomerus_caseyi
2015.Minyomerus_bulbifrons,!,1982.Minyomerus_conicollis
2015.Minyomerus_bulbifrons,!,1982.Minyomerus_constrictus
2015.Minyomerus_bulbifrons,!,1982.Minyomerus_languidus
2015.Minyomerus_bulbifrons,!,1982.Minyomerus_laticeps
2015.Minyomerus_bulbifrons,!,1982.Piscatopus_griseus
2015.Minyomerus_caponei,!,1982.Minyomerus_caseyi
2015.Minyomerus_caponei,!,1982.Minyomerus_conicollis
2015.Minyomerus_caponei,!,1982.Minyomerus_constrictus
2015.Minyomerus_caponei,!,1982.Minyomerus_languidus
2015.Minyomerus_caponei,!,1982.Minyomerus_laticeps
2015.Minyomerus_caponei,!,1982.Piscatopus_griseus
2015.Minyomerus_caseyi,!,1982.Minyomerus_conicollis
2015.Minyomerus_caseyi,!,1982.Minyomerus_constrictus
2015.Minyomerus_caseyi,!,1982.Minyomerus_innocuus
2015.Minyomerus_caseyi,!,1982.Minyomerus_languidus
2015.Minyomerus_caseyi,!,1982.Minyomerus_laticeps
2015.Minyomerus_caseyi,!,1982.Minyomerus_microps
2015.Minyomerus_caseyi,!,1982.Piscatopus_griseus
2015.Minyomerus_conicollis,!,1982.Minyomerus_caseyi
2015.Minyomerus_conicollis,!,1982.Minyomerus_constrictus
2015.Minyomerus_conicollis,!,1982.Minyomerus_innocuus
2015.Minyomerus_conicollis,!,1982.Minyomerus_languidus
2015.Minyomerus_conicollis,!,1982.Minyomerus_laticeps
2015.Minyomerus_conicollis,!,1982.Minyomerus_microps
2015.Minyomerus_conicollis,!,1982.Piscatopus_griseus
2015.Minyomerus_constrictus,!,1982.Minyomerus_caseyi
2015.Minyomerus_constrictus,!,1982.Minyomerus_conicollis
2015.Minyomerus_constrictus,!,1982.Minyomerus_innocuus
2015.Minyomerus_constrictus,!,1982.Minyomerus_languidus
2015.Minyomerus_constrictus,!,1982.Minyomerus_laticeps
2015.Minyomerus_constrictus,!,1982.Minyomerus_microps
2015.Minyomerus_constrictus,!,1982.Piscatopus_griseus
2015.Minyomerus_cracens,!,1982.Minyomerus_caseyi
2015.Minyomerus_cracens,!,1982.Minyomerus_conicollis
2015.Minyomerus_cracens,!,1982.Minyomerus_constrictus
2015.Minyomerus_cracens,!,1982.Minyomerus_languidus
2015.Minyomerus_cracens,!,1982.Minyomerus_laticeps
2015.Minyomerus_cracens,!,1982.Piscatopus_griseus
2015.Minyomerus_gravivultus,!,1982.Minyomerus_caseyi
2015.Minyomerus_gravivultus,!,1982.Minyomerus_conicollis
2015.Minyomerus_gravivultus,!,1982.Minyomerus_constrictus
2015.Minyomerus_gravivultus,!,1982.Minyomerus_languidus
2015.Minyomerus_gravivultus,!,1982.Minyomerus_laticeps
2015.Minyomerus_gravivultus,!,1982.Piscatopus_griseus
2015.Minyomerus_griseus,!,1982.Minyomerus_caseyi
2015.Minyomerus_griseus,!,1982.Minyomerus_conicollis
2015.Minyomerus_griseus,!,1982.Minyomerus_constrictus
2015.Minyomerus_griseus,!,1982.Minyomerus_languidus
2015.Minyomerus_griseus,!,1982.Minyomerus_laticeps
2015.Minyomerus_imberbus,!,1982.Minyomerus_caseyi
2015.Minyomerus_imberbus,!,1982.Minyomerus_conicollis
2015.Minyomerus_imberbus,!,1982.Minyomerus_constrictus
2015.Minyomerus_imberbus,!,1982.Minyomerus_languidus
2015.Minyomerus_imberbus,!,1982.Minyomerus_laticeps
2015.Minyomerus_imberbus,!,1982.Piscatopus_griseus
2015.Minyomerus_languidus,!,1982.Minyomerus_caseyi
2015.Minyomerus_languidus,!,1982.Minyomerus_conicollis
2015.Minyomerus_languidus,!,1982.Minyomerus_constrictus
2015.Minyomerus_languidus,!,1982.Minyomerus_innocuus
2015.Minyomerus_languidus,!,1982.Minyomerus_laticeps
2015.Minyomerus_languidus,!,1982.Minyomerus_microps
2015.Minyomerus_languidus,!,1982.Piscatopus_griseus
2015.Minyomerus_laticeps,!,1982.Minyomerus_caseyi
2015.Minyomerus_laticeps,!,1982.Minyomerus_conicollis
2015.Minyomerus_laticeps,!,1982.Minyomerus_constrictus
2015.Minyomerus_laticeps,!,1982.Minyomerus_innocuus
2015.Minyomerus_laticeps,!,1982.Minyomerus_languidus
2015.Minyomerus_laticeps,!,1982.Minyomerus_microps
2015.Minyomerus_laticeps,!,1982.Piscatopus_griseus
2015.Minyomerus_microps,!,1982.Minyomerus_caseyi
2015.Minyomerus_microps,!,1982.Minyomerus_conicollis
2015.Minyomerus_microps,!,1982.Minyomerus_constrictus
2015.Minyomerus_microps,!,1982.Minyomerus_languidus
