 ,architecture of distal 1/2,quantity of adaxial,architecture_or_pubescence of adventitious-bud,coloration of age,architecture_or_pubescence_or_shape of and/or,pubescence of and/or,architecture of adaxial angle,architecture of angle,atypical_size of anther,coloration of anther,dehiscence of anther,fusion of anther,size of anther,size_or_shape of anther,shape of inner phyllary apex,size of inner phyllary apex,architecture of inner apex,architecture_or_shape of inner apex,coloration of inner apex
architecture of distal 1/2,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0
quantity of adaxial,0,1,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
architecture_or_pubescence of adventitious-bud,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coloration of age,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5
architecture_or_pubescence_or_shape of and/or,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
pubescence of and/or,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
architecture of adaxial angle,0.5,0.25,0,0,0,0,1,0.75,0,0,0,0,0,0,0,0,0.5,0,0
architecture of angle,0.5,0,0,0,0,0,0.75,1,0,0,0,0,0,0,0,0,0.5,0,0
atypical_size of anther,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0
coloration of anther,0,0,0,0.5,0,0,0,0,0.5,1,0.5,0.5,0.5,0.5,0,0,0,0,0.5
dehiscence of anther,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0.5,0.5,0,0,0,0,0
fusion of anther,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0.5,0.5,0,0,0,0,0
size of anther,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,1,0.5,0,0.5,0,0,0
size_or_shape of anther,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,1,0,0,0,0,0
shape of inner phyllary apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.33,0.33,0.33
size of inner phyllary apex,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,0.33,0.33,0.33
architecture of inner apex,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.33,0.33,1,0.5,0.5
architecture_or_shape of inner apex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.33,0.5,1,0.5
coloration of inner apex,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.33,0.33,0.5,0.5,1
